stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:43:3301:0:1","Dornbach/Wienerwald Feuerwehr","48.08295078","16.13454200","3380","","","Level 0","1"
"at:43:3301:0:2","Dornbach/Wienerwald Feuerwehr","48.08259070","16.13411980","3380","","","Level 0","2"
"at:43:3302:0:1","Deutsch Brodersdorf Schubertstr.","47.94093414","16.47910880","3065","","","Level 0","1"
"at:43:3309:0:2","Drösing Bahnhof","48.54019971","16.89650201","3092","","Pat:43:3309","Level 0","1"
"at:43:3309:1","Bahn","48.53939082","16.89571149","","","Pat:43:3309","Level 0",""
"at:43:3309:3","Zugang","48.54061010","16.89613370","","2","Pat:43:3309","Level 0",""
"at:43:3309:4","P+R","48.54026514","16.89640320","","3","Pat:43:3309","Level 0",""
"at:43:3309:5","zg","48.54048520","16.89598099","","3","Pat:43:3309","Level -1",""
"at:43:3310:0:2","Dürnkrut Bahnhof","48.46937265","16.86054245","3093","","Pat:43:3310","Level 0","1"
"at:43:3310:1","G1","48.47101053","16.86118025","","","Pat:43:3310","Level 0",""
"at:43:3310:2","P+R","48.46889617","16.86013821","","3","Pat:43:3310","Level 0",""
"at:43:3310:3","zu Bf","48.46928927","16.86045262","","2","Pat:43:3310","Level 0",""
"at:43:3310:5","G23","48.47104627","16.86103652","","","Pat:43:3310","Level 0",""
"at:43:3310:6","zg","48.47011715","16.86044364","","3","Pat:43:3310","Level -1",""
"at:43:3311:0:1","Dürnrohr Hauptstraße","48.33096319","15.89903069","3501","","","Level 0","1"
"at:43:3311:0:2","Dürnrohr Hauptstraße","48.33107069","15.89877017","3501","","","Level 0","2"
"at:43:3312:0:1","Dürnrohr Neubaustraße","48.32979261","15.89874322","3501","","","Level 0","1"
