url,title,location,raw_size,rooms,price_raw,size_m2,price_eur,osm_id,lat,lon
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/helle-3-zimmer-gemeindewohnung-1530544901/,(reserviert) Helle 3 Zimmer Gemeindewohnung,"1020 Wien, 02. Bezirk, Leopoldstadt, Handelskai 214/10",83,3,,83.0,,483167828,48.2193531,16.4134405
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/charmante-1-zimmer-wohnung-mit-terrasse-und-weitblick-naehe-hauptbahnhof-2101892029/,Charmante 1-Zimmer-Wohnung mit Terrasse und Weitblick - Nähe Hauptbahnhof,"1100 Wien, 10. Bezirk, Favoriten, Kempelengasse",38,,€ 699,38.0,699.0,14352901,48.1742270,16.3935930
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/dachgeschosswohnung-mit-3-zimmern-am-stoeberplatz-zu-vermieten-1027162721/,"DACHGESCHOSSWOHNUNG mit 3 ZIMMERN am STÖBERPLATZ, zu vermieten","1160 Wien, 16. Bezirk, Ottakring, Stöberplatz 2",71,3,€ 1.090,71.0,1090.0,3329042712,48.2213472,16.3174622
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/stilvolle-1-zimmer-wohnung-mit-balkon-in-top-lage-dc-music-flats-donau-city-wien-1766184928/,"Stilvolle 1-Zimmer-Wohnung mit Balkon in Top-Lage - DC Music Flats, Donau City Wien","1220 Wien, 22. Bezirk, Donaustadt, Donau City Strasse 13",31,1,"€ 885,01",31.0,885.01,31609638,48.2334270,16.4114401
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/tolle-loft-wohnung-erstbezug-naehe-theobaldgasse-ab-sofort-verfuegbar-1744389031/,TOLLE LOFT-WOHNUNG - ERSTBEZUG - NÄHE THEOBALDGASSE - AB SOFORT VERFÜGBAR,"1060 Wien, 06. Bezirk, Mariahilf",97,2,"€ 1.995,01",97.0,1995.01,5836516,48.1954752,16.3470234
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/wohnung-60-m2-seyringer-str-5-auf-dauer-von-3j-zu-vermieten-1927598768/,"Wohnung 60 m2, Seyringer Str 5, auf Dauer von 3J. zu vermieten","1210 Wien, 21. Bezirk, Floridsdorf, Seyringer Straße 5",60,2,€ 900,60.0,900.0,5912417081,48.2646813,16.4539106
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/nachmieter-fuer-die-wohnung-1339029733/,Nachmieter für die Wohnung,"1050 Wien, 05. Bezirk, Margareten, Schönbrunnerstrasse",55,2,€ 710,55.0,710.0,4583285,48.1925379,16.3571114
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/top-sanierte-2-zimmerwohnung-in-gruenruhelage-naehe-huetteldorf-1850938071/,(reserviert) Top-sanierte 2 Zimmerwohnung in Grünruhelage nähe Hütteldorf,"1140 Wien, 14. Bezirk, Penzing, Hüttelbergstraße",51,2,,51.0,,307590477,48.2050842,16.2569535
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/rooftop-maisonette-with-terrace-roof-garden-145m2-fully-furnished-short-term-long-term-everything-is-possible-2077619183/,"Rooftop Maisonette with Terrace, Roof garden 145m2 - fully furnished. Short term - long term - everything is possible","1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus",145,3,€ 3.100,145.0,3100.0,1990599,48.1954752,16.3263007
https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/helle-2-zimmer-wohnung-in-guter-lage-vollmoebiliert-naehe-wu-provisionfrei-2138416439/,"Helle 2-Zimmer-Wohnung in guter Lage, Vollmöbiliert, nähe WU, Provisionfrei","1200 Wien, 20. Bezirk, Brigittenau, Innstraße",54,2,€ 950,54.0,950.0,155439807,48.2337497,16.3930268
